gvkey,iid,datadate,tic,prccd
005073,19,2024-02-29,GM,40.98000000
005073,19,2024-03-01,GM,40.99000000
005073,19,2024-03-04,GM,40.93000000
005073,19,2024-03-05,GM,40.65000000
005073,19,2024-03-06,GM,40.15000000
005073,19,2024-03-07,GM,39.35000000
005073,19,2024-03-08,GM,39.50000000
005073,19,2024-03-11,GM,39.53000000
005073,19,2024-03-12,GM,39.21000000
005073,19,2024-03-13,GM,40.26000000
005073,19,2024-03-14,GM,39.38000000
005073,19,2024-03-15,GM,40.69000000
005073,19,2024-03-18,GM,40.82000000
005073,19,2024-03-19,GM,41.51000000
005073,19,2024-03-20,GM,42.85000000
005073,19,2024-03-21,GM,43.42000000
005073,19,2024-03-22,GM,43.06000000
005073,19,2024-03-25,GM,43.55000000
005073,19,2024-03-26,GM,44.00000000
005073,19,2024-03-27,GM,44.59000000
005073,19,2024-03-28,GM,45.35000000
005073,19,2024-04-01,GM,45.40000000
005073,19,2024-04-02,GM,44.89000000
005073,19,2024-04-03,GM,45.17000000
005073,19,2024-04-04,GM,43.68000000
005073,19,2024-04-05,GM,44.23000000
005073,19,2024-04-08,GM,44.34000000
005073,19,2024-04-09,GM,44.73000000
005073,19,2024-04-10,GM,43.94000000
005073,19,2024-04-11,GM,43.84000000
005073,19,2024-04-12,GM,43.08000000
005073,19,2024-04-15,GM,42.69000000
005073,19,2024-04-16,GM,42.66000000
005073,19,2024-04-17,GM,42.46000000
005073,19,2024-04-18,GM,42.44000000
005073,19,2024-04-19,GM,42.37000000
005073,19,2024-04-22,GM,43.21000000
005073,19,2024-04-23,GM,45.10000000
005073,19,2024-04-24,GM,45.08000000
005073,19,2024-04-25,GM,45.62000000
005073,19,2024-04-26,GM,45.84000000
005073,19,2024-04-29,GM,46.04000000
005073,19,2024-04-30,GM,44.53000000
005073,19,2024-05-01,GM,44.47000000
005073,19,2024-05-02,GM,44.67000000
005073,19,2024-05-03,GM,44.86000000
005073,19,2024-05-06,GM,45.06000000
005073,19,2024-05-07,GM,45.28000000
005073,19,2024-05-08,GM,45.05000000
005073,19,2024-05-09,GM,45.36000000
005073,19,2024-05-10,GM,45.21000000
005073,19,2024-05-13,GM,45.17000000
005073,19,2024-05-14,GM,45.03000000
005073,19,2024-05-15,GM,45.49000000
005073,19,2024-05-16,GM,45.87000000
005073,19,2024-05-17,GM,45.76000000
005073,19,2024-05-20,GM,45.11000000
005073,19,2024-05-21,GM,44.92000000
005073,19,2024-05-22,GM,43.97000000
005073,19,2024-05-23,GM,43.73000000
005073,19,2024-05-24,GM,44.11000000
005073,19,2024-05-28,GM,43.09000000
005073,19,2024-05-29,GM,42.64000000
005073,19,2024-05-30,GM,43.41000000
005073,19,2024-05-31,GM,44.99000000
005073,19,2024-06-03,GM,45.74000000
005073,19,2024-06-04,GM,45.26000000
005073,19,2024-06-05,GM,45.62000000
005073,19,2024-06-06,GM,45.61000000
005073,19,2024-06-07,GM,45.72000000
005073,19,2024-06-10,GM,47.57000000
005073,19,2024-06-11,GM,48.21000000
005073,19,2024-06-12,GM,48.86000000
005073,19,2024-06-13,GM,47.65000000
005073,19,2024-06-14,GM,46.77000000
005073,19,2024-06-17,GM,47.40000000
005073,19,2024-06-18,GM,47.44000000
005073,19,2024-06-20,GM,47.77000000
005073,19,2024-06-21,GM,47.72000000
005073,19,2024-06-24,GM,48.11000000
005073,19,2024-06-25,GM,46.41000000
005073,19,2024-06-26,GM,45.77000000
005073,19,2024-06-27,GM,45.58000000
005073,19,2024-06-28,GM,46.46000000
005073,19,2024-07-01,GM,46.68000000
005073,19,2024-07-02,GM,46.95000000
005073,19,2024-07-03,GM,46.71000000
005073,19,2024-07-05,GM,46.52000000
005073,19,2024-07-08,GM,46.55000000
005073,19,2024-07-09,GM,46.26000000
005073,19,2024-07-10,GM,46.53000000
005073,19,2024-07-11,GM,47.93000000
005073,19,2024-07-12,GM,49.01000000
005073,19,2024-07-15,GM,49.30000000
005073,19,2024-07-16,GM,49.77000000
005073,19,2024-07-17,GM,49.90000000
005073,19,2024-07-18,GM,49.65000000
005073,19,2024-07-19,GM,48.30000000
005073,19,2024-07-22,GM,49.56000000
005073,19,2024-07-23,GM,46.38000000
005073,19,2024-07-24,GM,46.49000000
005073,19,2024-07-25,GM,44.13000000
005073,19,2024-07-26,GM,44.12000000
005073,19,2024-07-29,GM,44.15000000
005073,19,2024-07-30,GM,44.23000000
005073,19,2024-07-31,GM,44.32000000
005073,19,2024-08-01,GM,43.37000000
005073,19,2024-08-02,GM,41.17000000
005073,19,2024-08-05,GM,39.95000000
005073,19,2024-08-06,GM,40.61000000
005073,19,2024-08-07,GM,40.65000000
005073,19,2024-08-08,GM,42.73000000
005073,19,2024-08-09,GM,43.48000000
005073,19,2024-08-12,GM,42.99000000
005073,19,2024-08-13,GM,43.32000000
005073,19,2024-08-14,GM,43.61000000
005073,19,2024-08-15,GM,44.86000000
005073,19,2024-08-16,GM,45.32000000
005073,19C,2023-08-31,GMM.U,
005073,19C,2023-11-30,GMM.U,
005073,19C,2024-02-29,GMM.U,
005073,19C,2024-06-07,GMM.U,
006066,01,2023-08-01,IBM,143.33000000
006066,01,2023-08-02,IBM,144.17000000
006066,01,2023-08-03,IBM,144.45000000
006066,01,2023-08-04,IBM,144.24000000
006066,01,2023-08-07,IBM,146.18000000
006066,01,2023-08-08,IBM,145.91000000
006066,01,2023-08-09,IBM,142.49000000
006066,01,2023-08-10,IBM,143.25000000
006066,01,2023-08-11,IBM,143.12000000
006066,01,2023-08-14,IBM,141.91000000
006066,01,2023-08-15,IBM,141.87000000
006066,01,2023-08-16,IBM,140.64000000
006066,01,2023-08-17,IBM,140.66000000
006066,01,2023-08-18,IBM,141.41000000
006066,01,2023-08-21,IBM,142.28000000
006066,01,2023-08-22,IBM,141.49000000
006066,01,2023-08-23,IBM,143.41000000
006066,01,2023-08-24,IBM,143.55000000
006066,01,2023-08-25,IBM,145.35000000
006066,01,2023-08-28,IBM,146.02000000
006066,01,2023-08-29,IBM,146.45000000
006066,01,2023-08-30,IBM,146.86000000
006066,01,2023-08-31,IBM,146.83000000
006066,01,2023-09-01,IBM,147.94000000
006066,01,2023-09-05,IBM,148.13000000
006066,01,2023-09-06,IBM,148.06000000
006066,01,2023-09-07,IBM,147.52000000
006066,01,2023-09-08,IBM,147.68000000
006066,01,2023-09-11,IBM,148.38000000
006066,01,2023-09-12,IBM,146.30000000
006066,01,2023-09-13,IBM,146.55000000
006066,01,2023-09-14,IBM,147.35000000
006066,01,2023-09-15,IBM,145.99000000
006066,01,2023-09-18,IBM,145.09000000
006066,01,2023-09-19,IBM,146.52000000
006066,01,2023-09-20,IBM,149.83000000
006066,01,2023-09-21,IBM,147.38000000
006066,01,2023-09-22,IBM,146.91000000
006066,01,2023-09-25,IBM,146.48000000
006066,01,2023-09-26,IBM,143.24000000
006066,01,2023-09-27,IBM,143.17000000
006066,01,2023-09-28,IBM,141.58000000
006066,01,2023-09-29,IBM,140.30000000
006066,01,2023-10-02,IBM,140.80000000
006066,01,2023-10-03,IBM,140.39000000
006066,01,2023-10-04,IBM,141.07000000
006066,01,2023-10-05,IBM,141.52000000
006066,01,2023-10-06,IBM,142.03000000
006066,01,2023-10-09,IBM,142.20000000
006066,01,2023-10-10,IBM,142.11000000
006066,01,2023-10-11,IBM,143.23000000
006066,01,2023-10-12,IBM,141.24000000
006066,01,2023-10-13,IBM,138.46000000
006066,01,2023-10-16,IBM,139.21000000
006066,01,2023-10-17,IBM,140.32000000
006066,01,2023-10-18,IBM,139.97000000
006066,01,2023-10-19,IBM,138.01000000
006066,01,2023-10-20,IBM,137.16000000
006066,01,2023-10-23,IBM,136.38000000
006066,01,2023-10-24,IBM,137.79000000
006066,01,2023-10-25,IBM,137.08000000
006066,01,2023-10-26,IBM,143.76000000
006066,01,2023-10-27,IBM,142.52000000
006066,01,2023-10-30,IBM,142.63000000
006066,01,2023-10-31,IBM,144.64000000
006066,01,2023-11-01,IBM,145.40000000
006066,01,2023-11-02,IBM,147.01000000
006066,01,2023-11-03,IBM,147.90000000
006066,01,2023-11-06,IBM,148.97000000
006066,01,2023-11-07,IBM,148.83000000
006066,01,2023-11-08,IBM,148.03000000
006066,01,2023-11-09,IBM,146.62000000
006066,01,2023-11-10,IBM,149.02000000
006066,01,2023-11-13,IBM,148.10000000
006066,01,2023-11-14,IBM,150.41000000
006066,01,2023-11-15,IBM,152.58000000
006066,01,2023-11-16,IBM,153.06000000
006066,01,2023-11-17,IBM,152.89000000
006066,01,2023-11-20,IBM,154.35000000
006066,01,2023-11-21,IBM,153.91000000
006066,01,2023-11-22,IBM,155.13000000
006066,01,2023-11-24,IBM,155.18000000
006066,01,2023-11-27,IBM,155.57000000
006066,01,2023-11-28,IBM,155.65000000
006066,01,2023-11-29,IBM,156.41000000
006066,01,2023-11-30,IBM,158.56000000
006066,01,2023-12-01,IBM,160.55000000
006066,01,2023-12-04,IBM,161.10000000
006066,01,2023-12-05,IBM,161.39000000
006066,01,2023-12-06,IBM,160.28000000
006066,01,2023-12-07,IBM,160.22000000
006066,01,2023-12-08,IBM,161.96000000
006066,01,2023-12-11,IBM,163.51000000
006066,01,2023-12-12,IBM,164.71000000
